ADXL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Value,Min Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.14,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value Num,ADXL Vector,Filtered ADXL Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1.07,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.94,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1.07,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.14,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1.07,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0.94,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0.93,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1.02,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
